PROJECT_NAME,PROJECT_NUMBER,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,STATE,EVENT_DATE_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun
Thirumayam-Manamadurai (NH-226) Two Laning Highway Project,998,New Unit,4011.1,Completed,"Engineering, Procurement & Construction",Oct-17,Tamil Nadu,01-Jan-14,30/04/14,4011.1,2525.3,1485.8
Thiruvananthapuram International Airport-NH-66 Bypass Connectivity Project,1193,New Unit,11208,Completed,,Oct-20,Kerala,30-Jun-16,13/10/20,11208,11208,0
Thondapalli to Farukhanagar (NS/9) Project,227,Substantial Expansion,280,Completed,"Engineering, Procurement & Construction",Jan-03,Telangana,31-Jan-99,01/01/02,280,280,0
Thondupally-Kothur (NH-44) Six Lane Highway Project (Hyderabad-Bangalore Section),1960,Substantial Expansion,5420,Under Implementation,"Engineering, Procurement & Construction",,Telangana,01-Feb-22,29/04/22,5420,3993.3,1426.7
Thopurghar section (NS/14) Highway Project,228,Substantial Expansion,337.4,Completed,"Engineering, Procurement & Construction",Apr-02,Tamil Nadu,01-Nov-99,01/11/99,337.4,337.4,0
Thopurghat to Thumpipadi (NS-25/TN) Road Project,416,Substantial Expansion,925.4,Completed,,Jan-10,Tamil Nadu,31-Dec-03,01/07/09,925.4,500,425.4
Thorapalli Agraharam-Jittandahalli section (NH-844) Four Lane Highway Project (Package 2 of Hosur-Dharmapuri) (Bharatmala),1688,Substantial Expansion,10810,Under Implementation,Hybrid Annuity,Dec-23,Tamil Nadu,11-Jul-18,14/03/20,10810,6960.6,3849.4
Three Lane Bridge Across River Tapi (NH-8) Project,11,New Unit,650,No Information,,,Gujarat,09-May-02,01/07/09,650,300,350
Thumpipadi-Salem Highway Project,331,New Unit,996.6,Completed,,Mar-10,Tamil Nadu,01-Dec-03,31/07/08,996.6,824.9,171.7
Thuravoor Thekku-Paravoor (NH-66) Six Lane Highway Project (Bharatmala),1895,Substantial Expansion,28880,Under Implementation,"Engineering, Procurement & Construction",,Kerala,01-Jan-20,15/12/22,28880,12480.8,16399.2
Tikamgarh-Orchha (NH-539) Two Lane Road Project,2083,New Unit,7410,Under Implementation,,,Madhya Pradesh,01-Apr-22,02/12/22,7410,7410,0
Tindivanam-Krishnagiri (NH-77) Two Laning Highway Project,1613,New Unit,5620,Under Implementation,Build Operate Transfer,Jun-23,Tamil Nadu,28-Oct-09,31/10/17,5620,7533.8,-1913.8
Tindivanam-Krishnagiri(NH-66) Four-Laning Road Project,570,Substantial Expansion,10750,No Information,Build Operate Transfer,,Tamil Nadu,04-Mar-09,04/03/09,10750,10750,0
Tindivanam-Ulundurpet (Pkg -VI-A) Highway Project,417,New Unit,11308,Completed,Build Operate Transfer,Jun-09,Tamil Nadu,18-Oct-06,30/06/09,11308,8280,3028
Tiruchi Road Stock Exchange Building To Narasimhanaicken Palayam Four Laning Project,779,Substantial Expansion,496.9,Completed,,Jan-12,Tamil Nadu,01-Apr-10,01/04/10,496.9,496.9,0
Tiruchi-Karur (NH-67) Road Over Bridge Project,526,New Unit,277.9,Completed,,Jan-09,Tamil Nadu,03-Dec-08,01/01/09,277.9,241.9,36
Tiruchy-Karur Four Lane Highway Project (Bharatmala),1604,New Unit,5160,Under Implementation,,,Tamil Nadu,01-Oct-18,09/08/20,5160,5160,0
Tirupur Industrial Cluster (Coimbatore)-Enayam Expressway Project,1738,New Unit,130000,No Information,,,Tamil Nadu,01-Apr-16,03/06/16,130000,130000,0
Tirupur Road Widening Project,14,Renovation & Modernisation,24.9,No Information,,,Tamil Nadu,01-Jun-97,01/06/97,24.9,24.9,0
Tonk-Sawaimadhopur (NH-116) Two-Laning Highway Project,1491,New Unit,3203,Completed,"Engineering, Procurement & Construction",Oct-19,Rajasthan,01-Mar-16,31/03/17,3203,3176,27
Tori Level Crossing (NH-99) ROB Project,1556,New Unit,430,Under Implementation,,,Jharkhand,21-Sep-18,04/04/21,430,430,0
Tovaramkurchi-Madurai (Package-VIIB) Highway Project,495,Substantial Expansion,3040,Completed,,Dec-09,Tamil Nadu,01-Apr-00,31/12/09,3040,2630,410
Trichy Bypass-Tovaramkurchi (Package-VII A) Highway Project,407,Substantial Expansion,2863,Completed,,Apr-10,Tamil Nadu,31-Dec-03,28/02/10,2863,2610,253
Trichy-Dindigul (NH-45) Highway Project,446,Substantial Expansion,6000,Completed,Build Operate Transfer,Jan-12,Tamil Nadu,01-Feb-07,11/01/12,6000,5760,240
Tumakuru (NH-206)-Honnavar Port Two to Four Lane Road Project (Port Connectivity),1728,Substantial Expansion,5000,No Information,,,Karnataka,01-Dec-16,31/01/19,5000,5000,0
Tumkur Bypass (NH-4) Highway Project,117,Substantial Expansion,830,Completed,,Dec-10,Karnataka,01-Jun-01,01/01/02,830,520,310
Tumkur Road Six-Lane Elevated Expressway Project or Nelamangala Cross-Jalahalli Cross Highway Project,429,New Unit,7500,Completed,,Dec-10,Karnataka,09-Jun-06,11/12/10,7500,7200,300
Tupudana-Itre Four Lane Road (NH-75E) (NH-20) Project (Package-1 of Ranchi-Jaintgarh-Paradip Economic Corridor),2124,Substantial Expansion,17900,Announced,,,Jharkhand,01-Mar-21,21/12/22,17900,17900,0
Tuticorin-Palayamkottai Four Lane Road Project,854,Substantial Expansion,2250,Completed,Build Operate Transfer,Apr-13,Tamil Nadu,01-Dec-04,30/11/12,2250,2310,-60
Two Lane Bridge across Kosi River (NH-527 A) Project (Umagaon-Saharsa Package-IV) (Bharatmala),1637,New Unit,11010,Under Implementation,"Engineering, Procurement & Construction",Aug-23,Bihar,21-Dec-18,19/01/23,11010,9842.9,1167.1
Two Laning Parallel Road to Indo-Nepal Project,1489,New Unit,25027.2,Under Implementation,,Dec-24,Bihar,10-Jan-10,28/02/22,25027.2,26000,-972.8
Two lane composite ROB (NH 13) of Chitradurga Shimoga Section in Lieu of LC No.46 Project,1869,New Unit,439,Under Implementation,"Engineering, Procurement & Construction",,Karnataka,01-Nov-20,19/12/20,439,439,0
UP/Bihar Border-Kasia (LMNHP-8) Highway Project,714,New Unit,3900,Completed,,May-12,Uttar Pradesh,01-Dec-03,31/12/11,3900,2270,1630
UP/Haryana Border-Panchkula (NH-73) Four-Laning Highway Project (Package-I),976,Substantial Expansion,6008.5,Completed,"Engineering, Procurement & Construction",Jul-18,Haryana,30-Apr-09,19/05/15,6008.5,3890,2118.5
UP/Haryana Border-Panchkula (NH-73) Four-Laning Highway Project (Package-II),1003,Substantial Expansion,5623.4,Completed,"Engineering, Procurement & Construction",Jun-18,Haryana,30-Apr-09,19/05/15,5623.4,3377,2246.4
UP/Haryana Border-Panchkula (NH-73) Four-Laning Highway Project (Package-III),1043,Substantial Expansion,2070,Completed,"Engineering, Procurement & Construction",Jun-20,Haryana,30-Apr-09,31/10/17,2070,3010,-940
UP/Haryana Border-Rohna (Package-I) NH-334B Four Laning Highway Project (Meerut to Jhajjar),1286,Substantial Expansion,10200,Completed,Hybrid Annuity,Apr-22,Haryana,01-May-17,25/03/21,10200,12636.5,-2436.5
Udai Pole-Court Gate (NH-927A) Elevated Road Project,1478,New Unit,1300,Shelved,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-08,16/10/18,1300,1148.9,151.1
Udaipur-Ratanpur-Chiloda(Kesariaji-Ratanpur) Highway Project,131,Substantial Expansion,2260.5,Completed,"Engineering, Procurement & Construction",Mar-05,Rajasthan,01-Mar-01,01/01/02,2260.5,1920,340.5
Udaipur-Ratanpur-Chiloda(Udaipur-Kesariaji (UG-I)) Highway Project,130,Substantial Expansion,2459,Completed,"Engineering, Procurement & Construction",Jan-04,Rajasthan,01-Sep-01,01/09/01,2459,2459,0
Udaipura-Bhogu (NH-75) Four Lane Highway Project (Package-2),2050,Substantial Expansion,14370,Under Implementation,,,Jharkhand,01-Apr-18,23/03/23,14370,14370,0
Udarband-Harangajo Highway Project,275,New Unit,1550,No Information,,,Assam,01-Dec-03,01/01/10,1550,1550,0
Umagaon-Basopatti-Kalauhi-Saharghat-Benipatti-Rahika-Pokhrauni-Madubani-Rampatti-Bideshwarsthan-Awam-Loufa-Bheja-Supaul-Saharsa Two Lane Port Connectivity Project,1558,New Unit,50000,Under Implementation,Build Operate Transfer,,Bihar,03-Feb-16,25/05/18,50000,50000,0
Umred-Nagbhid-Bramhapur-Armori (NH-353D) Two Lane Highway Project,1686,Substantial Expansion,4620.8,Under Implementation,,,Maharashtra,08-Jan-16,08/01/16,4620.8,4620.8,0
Una-Kodinar (NH-8E) (Package-V Bhavnagar-Veraval Section) Four Lane Highway Project,1016,Substantial Expansion,7630.8,Under Implementation,Hybrid Annuity,,Gujarat,03-May-12,26/05/16,7630.8,8210,-579.2
Uncha-Nagla-Khanuawa-Roppas-Dholpur (NH-123) Two Laning Highway Project,1009,New Unit,2759,Completed,"Engineering, Procurement & Construction",Oct-19,Rajasthan,15-Jul-11,30/01/14,2759,2759,0
Uniara-Nainwa-Hindoli-Jahajpur-Shahpura-Gulabpura (NH-148D) Two Lane Road Project,932,New Unit,7172,Completed,"Engineering, Procurement & Construction",Jun-22,Rajasthan,10-Sep-12,28/02/18,7172,5707.4,1464.6
Up-gradation of B.T Road (Burmah Shell area to Security Gate at Kakinada Anchorage port) Project,1378,New Unit,150,Completed,,May-18,Andhra Pradesh,01-Apr-16,03/06/16,150,150,0
"Upgradation of Bhangbar-Kangra Bypass (NH-88) (New NH-303,503) Four Lane Highway Project (Package-VB of Shimla-Mataur Highway)",1905,Substantial Expansion,13230,Under Implementation,,,Himachal Pradesh,01-Jan-21,24/06/21,13230,12959.8,270.2
Upgradation of Hinterland Road from Naidupeta-Krishnagiri Project,1719,Substantial Expansion,30000,No Information,,,Tamil Nadu,01-Apr-16,01/07/16,30000,30000,0
Upgradation of Multai-Seoni section & Narsinghpur-Saoner Section including Chhindwara Town Ring Road Project,810,Substantial Expansion,15601.5,Completed,"Engineering, Procurement & Construction",Mar-15,Madhya Pradesh,07-Feb-10,31/03/12,15601.5,14122.7,1478.8
Upgradation of Old NH-6 (NH-53) Four Lane Highway Project (Khamgaon City),1449,Substantial Expansion,522.5,Completed,"Engineering, Procurement & Construction",Feb-21,Maharashtra,18-Dec-17,12/10/18,522.5,706.8,-184.3
Upgradation of Two Laning of Sriganganagar to Raisinghnagar (NH-911) Highway Project,1888,Substantial Expansion,6703.8,Under Implementation,Hybrid Annuity,,Rajasthan,01-Jan-21,27/06/22,6703.8,6446.1,257.7
Urukunnu-Kadampattukonam Four/Six Lane Economic Corridor Project,2040,Substantial Expansion,27410,Announced,,,Kerala,01-Jan-22,16/03/22,27410,27410,0
Vadape-Thane (NH-848) Six/Eight Laning Highway Project,1941,Substantial Expansion,11830,Under Implementation,Hybrid Annuity,May-23,Maharashtra,05-Aug-16,29/03/18,11830,12437.5,-607.5
Vadodara-Bharuch (NH-8) Six-Laning Highway Project,430,Substantial Expansion,7898.4,Completed,Build Operate Transfer,Sep-09,Gujarat,19-Jun-06,01/07/09,7898.4,7500,398.4
Vadodara-Surat (NH-8) Six-Laning Highway (Four-lane Bridge over Narmada River in Bharuch along with Six-Lane Approach Roads) Project (Extra Dosed Bridge),901,Substantial Expansion,5031.6,Completed,"Design, Build, Finance, Operate and Transfer (Toll) basis",Feb-20,Gujarat,17-Oct-09,26/12/13,5031.6,5092.9,-61.3
Vakalapudi Light House-Uppada-Annavaram (NH-516F) Four Lane Access controlled Highway Project,2061,Substantial Expansion,13270,Under Implementation,Hybrid Annuity,,Andhra Pradesh,01-Apr-22,22/09/22,13270,13270,0
Vanavolu-Vankarakunta Four/Six Lane Greenfield Expressway Project (Package-2 of Bengaluru-Kadapa-Pulivendula-Vijayawada Expressway),1974,Substantial Expansion,60016,Under Implementation,Hybrid Annuity,Mar-26,Andhra Pradesh,01-Aug-21,25/01/22,60016,60016,0
Varadharajula-Kumarajapet (NH-716B) Six Laning Expressway Project (Package-I of Chittoor-Thatchur Expressway),1638,New Unit,14848.3,Under Implementation,Hybrid Annuity,,Andhra Pradesh,01-Apr-18,17/02/22,14848.3,14848.3,0
Varanasi (Kashi) Intermodal Station Project,1458,New Unit,30000,Announced,Hybrid Annuity,,Uttar Pradesh,01-Jan-17,23/03/18,30000,30000,0
Varanasi (NH-29) Four Laning Bypass (Phase 2) Project (Package-II),1327,Substantial Expansion,9727.7,Completed,Hybrid Annuity,Dec-22,Uttar Pradesh,20-Aug-17,29/02/20,9727.7,10573.3,-845.6
Varanasi (NH-56) Four Laning Bypass (Phase 2) Project (Package-I),1328,Substantial Expansion,4523.5,Completed,Hybrid Annuity,Feb-19,Uttar Pradesh,20-Aug-17,31/01/18,4523.5,4861.2,-337.7
Varanasi Ring Road (NH-31) Project (Varanasi-Gorakhpur NH-29),910,New Unit,15000,Under Implementation,"Engineering, Procurement & Construction",Feb-24,Uttar Pradesh,15-Jan-00,05/03/18,15000,10000,5000
Varanasi Ring Road (Near Rewasa Village) to Chandauli-Chainpur Road (Near Khainti Village) Four/Six Lane Greenfield Access Control Expressway Project (Package-1 of Varanasi-Kolkata Expressway),1983,New Unit,9940.3,Under Implementation,Hybrid Annuity,,Uttar Pradesh,01-Oct-21,29/03/23,9940.3,9940.3,0
Varanasi-Aurangabad(Dehri on-sone--Aurangabad) Highway Project,156,Substantial Expansion,2426.1,Completed,"Engineering, Procurement & Construction",Nov-05,Bihar,31-Jan-01,01/01/03,2426.1,2850,-423.9
Varanasi-Aurangabad(Mohania-Sasaram) Highway Project,154,Substantial Expansion,2305.5,Completed,"Engineering, Procurement & Construction",Mar-06,Bihar,31-Jan-01,01/01/02,2305.5,2300,5.5
Varanasi-Dagmagpur (NH-7) Four Lane Highway Project (Package-I),1414,Substantial Expansion,12482.6,Completed,"Engineering, Procurement & Construction",Sep-22,Uttar Pradesh,01-Apr-16,02/08/21,12482.6,8719.8,3762.8
Varanasi-Gorakhpur (NH-24) Four Laning Highway (Package-IV Amilla Village-Gorakhpur) Project,1051,Substantial Expansion,30418.3,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,15-Oct-14,14/12/22,30418.3,13513.2,16905.1
Varanasi-Gorakhpur (NH-29) Four Laning Highway (Package-II from Sandah-Birnon) Project,1049,Substantial Expansion,34218.4,Completed,"Engineering, Procurement & Construction",Jan-22,Uttar Pradesh,15-Sep-14,05/08/21,34218.4,17031.6,17186.8
Varanasi-Gorakhpur (NH-29) Four Laning Highway (Package-III Birnon Village-Amilla Village) Project,1050,Substantial Expansion,38051.8,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,15-Oct-14,14/12/22,38051.8,13446,24605.8
Varanasi-Mohania (GTRIP/IV-A) Highway Project,153,Substantial Expansion,4679.3,Completed,,Sep-10,Bihar,01-Jun-01,01/04/09,4679.3,3080,1599.3
Vashista River Bridge Project,173,New Unit,1002.5,No Information,,,Andhra Pradesh,15-Aug-01,01/09/01,1002.5,1002.5,0
Vehicular Underpasses at Kalabadia Chowk and Kuliana Village Road in Balasore-Baripada-Jharpokharia Section of NH-5 Project,1840,New Unit,255.2,Under Implementation,"Engineering, Procurement & Construction",,Odisha,01-May-20,16/05/20,255.2,255.2,0
Vejalka Village-Start of DSIR Zone (NH-751) Four Lane Expressway Project (Ahmedabad-Dholera Greenfield Alignment Package-3),1706,New Unit,7443.8,Under Implementation,"Engineering, Procurement & Construction",Mar-24,Gujarat,20-Mar-10,28/12/18,7443.8,7443.8,0
Vellora Square (Balasore and Kharagpur) (NH-60) Underpass Project,1428,New Unit,111.1,Under Implementation,"Engineering, Procurement & Construction",,Odisha,01-Dec-17,07/06/21,111.1,111.1,0
Vengalam-Kuttipuram (NH-66) Four Laning Highway Project (Kasaragod District-Thiruvananthapuram District),539,Substantial Expansion,15785.9,Under Implementation,"Engineering, Procurement & Construction",Dec-25,Kerala,21-Nov-08,01/01/09,15785.9,11084.7,4701.2
Verka Chowk to Attari-Wagha Border Four-Laning Road Project,783,Substantial Expansion,2058.8,Completed,,Jun-10,Punjab,26-Oct-06,26/10/06,2058.8,2058.8,0
Vijayapura Road (NH)-Anchatageri Bypass Road Project,1315,New Unit,2480,No Information,,,Karnataka,04-Jul-17,04/07/17,2480,2480,0
Vijayawada Six Lane Bypass Project (Chinna Autupalli-Gollapudi & Gollapudi-Chinnakakani Section) (Vijayawada-Gundugolanu section),1510,Substantial Expansion,28250,Under Implementation,Hybrid Annuity,Apr-25,Andhra Pradesh,02-Jan-18,04/10/20,28250,28250,0
Vijayawada-Chilkaluripet (Package IV) Highway Project,177,New Unit,580,Completed,"Engineering, Procurement & Construction",May-02,Andhra Pradesh,01-Apr-99,01/01/02,580,115.2,464.8
Vijayawada-Elluru-Rajamundri NH-5 road project,528,New Unit,26580,No Information,Build Operate Transfer Toll,,Andhra Pradesh,21-Nov-08,01/04/09,26580,24266.5,2313.5
Vijayawada-Machilipatnam (NH-65) Four-Laning Highway Project (Bharatmala),990,Substantial Expansion,14620,Completed,"Engineering, Procurement & Construction",Nov-19,Andhra Pradesh,09-Sep-04,31/10/17,14620,3000,11620
Vijayawada-Rajamundry Section (near Eluru) HIghway Project,46,Substantial Expansion,190,Completed,"Engineering, Procurement & Construction",Mar-02,Andhra Pradesh,01-Dec-98,01/01/02,190,200,-10
Vijaypur-Pathankot Highway Project,306,New Unit,3593.6,Completed,"Engineering, Procurement & Construction",May-14,Punjab,01-Dec-03,01/04/09,3593.6,3593.6,0
Vijaywada-Chilkaluripet (PackageII) Highway Project,175,Substantial Expansion,800,Completed,"Engineering, Procurement & Construction",Jan-03,Andhra Pradesh,01-Mar-99,01/01/02,800,1280,-480
Vijaywada-Chilkaluripet (PackageIII) Highway Project,176,Substantial Expansion,680,Completed,"Engineering, Procurement & Construction",Jan-03,Andhra Pradesh,01-Mar-99,01/01/02,680,951.2,-271.2
Vijaywada-Chilkaluripet(Package I) Highway Project,55,Substantial Expansion,600,Completed,"Engineering, Procurement & Construction",Jan-03,Andhra Pradesh,01-Feb-99,01/01/02,600,2270,-1670
Vijaywada-Hyderabad(Vijay-Ibrahimpatnam & Hyderabad City) Highway Project,10,Substantial Expansion,720,Completed,Build Operate Transfer,Jun-01,Telangana,01-Sep-96,01/04/01,720,587.2,132.8
Vijaywada-Ranchi Highway Project,435,New Unit,13330,No Information,,,Jharkhand,19-Jul-06,24/12/15,13330,1200,12130
Vikkaravandi-Sethiyahopu (NH-45 C) Four Laning Highway (Pkg-I of Vikravandi-Thanjavur) Project,890,Substantial Expansion,12590,Under Implementation,"Design, Build, Finance, Operate and Transfer (Toll) basis",,Tamil Nadu,17-Dec-09,29/10/19,12590,11000,1590
Village Kalyanpur to Village Balbhadrapur Four Lane Access Controlled Greenfield Highway (NH-119D) Project (Package-III of Amas-Darbhanga Expressway),1946,New Unit,18577.8,Under Implementation,Hybrid Annuity,Sep-24,Bihar,01-Dec-19,06/04/22,18577.8,11655.4,6922.4
Villukuri-Kanyakumari (NH-47 & NH-66) & Nagercoil-Kavalkinaru (NH-47B) Four Laning Highway Project,351,Substantial Expansion,13000,Under Implementation,"Engineering, Procurement & Construction",Jul-23,Tamil Nadu,01-Dec-03,09/07/21,13000,6411.7,6588.3
Virnoda-Mopa Four/Six Lane (NH-166S) Highway Project,1629,New Unit,11830,Under Implementation,"Engineering, Procurement & Construction",,Goa,01-Jul-18,03/01/22,11830,12000,-170
Visakhapatnam (NH-516C) Four Lane Port Road Connectivity Project (Sheelanagar to Sabbavaram) (Bharatmala),1826,Substantial Expansion,5490,Under Implementation,Hybrid Annuity,,Andhra Pradesh,07-Dec-17,21/03/18,5490,3926,1564
Visakhapatnam Beach Road-Bhogapuram International Airport Six Lane Highway Project,3001,Substantial Expansion,63000,Under Implementation,,,Andhra Pradesh,01-Nov-21,03/03/23,63000,63000,0
Visakhapatnam Port-NH-5/NH-16 Balance Connectivity Four Lane Road Project,1237,Substantial Expansion,1003.3,Completed,"Engineering, Procurement & Construction",Jul-18,Andhra Pradesh,30-Sep-15,18/01/16,1003.3,829.3,174
Vizhinjam Bypass-Navaikulam (Kollam Border) Four/Six Lane Outer Ring Road Project (Thiruvananthpuram Outer Ring Road),1651,New Unit,45000,Under Implementation,Hybrid Annuity,,Kerala,01-Jan-18,11/03/22,45000,48680,-3680
Wadner-Devdhari (NS-60/MH) Highway Project,949,New Unit,2500,Completed,"Engineering, Procurement & Construction",Oct-18,Maharashtra,01-Mar-05,25/10/18,2500,1934.5,565.5
Wadpe-Kasarghat N H-3 Project,49,Substantial Expansion,2100,Shelved,,,Maharashtra,01-Jan-99,01/01/99,2100,2100,0
Wakhri-Kudus (NH-965) Four Lane Highway Project (Package-II of Sant Dnyaneshwar Maharaj PalkhiMarg) (section of Mohol-Alandi),1439,Substantial Expansion,9790,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,29-Dec-17,08/11/21,9790,5448.2,4341.8
Warangal-Khammam Four Lane Access Controlled Greenfield Highway Project,1930,New Unit,140550,Under Implementation,Hybrid Annuity,,Telangana,01-Oct-16,03/02/23,140550,28990,111560
